latitude,longitude,name,state_region,source,soil_type,climate_type,confidence,label
12.80102,77.33679,NEG-CHAR-024,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
27.11886,78.52924,NEG-QUAT-009,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
12.4098,78.51585,NEG-CHAR-039,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
24.18942,77.69428,NEG-AREN-029,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
27.20904,71.95,NEG-AEOL-024,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
24.10075,78.28585,NEG-AREN-044,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
26.81902,72.13451,NEG-AEOL-006,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
19.71457,76.26319,NEG-VERT-004,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
23.61725,77.96526,NEG-AREN-015,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
27.49224,80.88101,NEG-QUAT-048,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
26.27863,71.94506,NEG-AEOL-009,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
23.76933,78.05525,NEG-AREN-008,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
12.85281,78.69746,NEG-CHAR-007,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
12.55344,78.0703,NEG-CHAR-038,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
19.49807,75.47945,NEG-VERT-024,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
18.94934,74.97475,NEG-VERT-006,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
27.1857,81.992,NEG-QUAT-032,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
12.77925,78.58042,NEG-CHAR-017,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
26.94101,72.90206,NEG-AEOL-021,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
25.9581,78.64445,NEG-QUAT-033,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
26.13091,79.70483,NEG-QUAT-034,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.20184,75.78597,NEG-VERT-048,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
