latitude,longitude,name,soil_type,climate_type,sample_weight,label,ferric_iron_index,ferrous_mineral_index,laterite_index,gossan_index,ndvi,slope,elevation,soil_weathering_index,climate_weathering_index
12.80102,77.33679,NEG-CHAR-024,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.982709,0.930981,0.926642,1.084238,0.362138,0.905822,446.585468,0.64792,0.796135
27.11886,78.52924,NEG-QUAT-009,quaternary_alluvium,subhumid_alluvial,1.0,0,0.951588,0.97323,1.007991,0.985664,0.565471,0.935511,104.340193,0.544634,0.891108
12.4098,78.51585,NEG-CHAR-039,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.004999,0.938304,1.003813,0.825575,0.336281,5.278798,489.872351,0.651124,0.861426
24.18942,77.69428,NEG-AREN-029,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.029786,1.036056,0.806413,1.06819,0.167967,0.1,371.448742,0.570103,0.916361
27.20904,71.95,NEG-AEOL-024,aeolian_sand,arid_aeolian,1.0,0,0.773141,0.582474,0.726263,0.619824,0.07655,2.14732,245.720993,0.385491,0.288305
24.10075,78.28585,NEG-AREN-044,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.041986,1.021494,0.997419,0.924762,0.279568,3.16607,459.946112,0.649986,1.076933
26.81902,72.13451,NEG-AEOL-006,aeolian_sand,arid_aeolian,1.0,0,0.654457,0.59209,0.719163,0.813748,0.100228,3.502981,311.317249,0.312478,0.164622
19.71457,76.26319,NEG-VERT-004,vertisol_black_cotton,semi_arid_trap,0.95,0,0.976151,1.184819,0.776759,0.983688,0.430388,2.931934,574.272399,0.803886,1.012141
23.61725,77.96526,NEG-AREN-015,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.074396,0.882966,0.872584,0.90021,0.513318,2.952968,414.379138,0.769916,0.740419
27.49224,80.88101,NEG-QUAT-048,quaternary_alluvium,subhumid_alluvial,1.0,0,0.910634,0.765871,0.760927,0.863226,0.608207,2.674144,149.168993,0.546136,0.776797
