latitude,longitude,name,label,ferric_iron_index,ferrous_mineral_index,laterite_index,gossan_index,ndvi,slope,elevation
23.411595,85.977729,BG-jharkhand-022,0,0.996946,0.937523,0.952189,1.132317,0.43831,0.0,386.555018
24.713464,74.531189,BG-rajasthan-057,0,0.977226,0.931795,0.988542,1.057168,0.657805,8.454864,362.15579
18.258941,83.511847,BG-andhra-038,0,0.901869,0.828094,1.009415,1.229773,0.467082,5.021545,258.495384
23.804801,73.59131,BG-rajasthan-010,0,0.787433,0.919404,1.048458,1.159745,0.419093,7.194699,377.303479
21.52,79.3,Kandri Mn Mines,1,1.536465,1.041884,1.422285,1.117096,-0.095795,7.193815,395.893297
21.75,80.05,Tirodi Mine,1,1.555202,1.326283,1.100567,1.589472,0.049802,9.172273,439.427016
23.6019,74.095874,BG-rajasthan-014,0,1.038307,1.066423,1.072146,1.075982,0.570491,7.653214,281.031599
15.692207,75.230746,BG-karnataka-022,0,0.905221,0.898904,1.049892,0.979982,0.857078,1.813184,429.123794
18.307259,83.725246,BG-andhra-045,0,1.142956,1.14484,1.050911,1.153731,0.702479,5.076876,43.474517
22.223345,84.621641,BG-odisha-033,0,0.934868,1.083876,0.739011,1.025365,0.50305,4.079835,459.599519
23.054481,85.954031,BG-jharkhand-040,0,1.112925,1.261783,1.069195,0.922495,0.364494,1.757885,454.750092
17.540653,83.964124,BG-andhra-009,0,0.929307,0.950866,1.089888,0.904246,0.410078,0.0,80.927352
20.742008,84.561743,BG-odisha-017,0,0.929162,1.014049,1.160959,1.017045,0.504432,6.255862,499.321522
18.09103,83.846588,BG-andhra-008,0,1.162937,0.99558,0.808249,1.164542,0.524778,11.021237,196.710275
24.439509,73.600645,BG-rajasthan-008,0,1.332496,0.913346,1.22489,1.038419,0.372234,0.421985,333.386639
21.578592,85.824828,BG-odisha-013,0,1.247731,1.066129,1.080221,0.63986,0.580864,8.001336,319.508109
23.239947,85.57141,BG-jharkhand-046,0,0.919619,0.9597,1.24598,0.851184,0.387273,11.628031,300.923412
24.080304,73.276748,BG-rajasthan-050,0,0.96172,0.972711,0.771394,1.055191,0.254365,9.483392,350.349891
21.223104,78.804296,BG-mp-maharashtra-053,0,1.385349,0.996509,1.18851,0.811478,0.439236,6.954155,612.029301
23.494479,74.275323,BG-rajasthan-045,0,0.751053,1.088781,1.064617,1.265367,0.581106,5.73432,292.618538
14.45,75.8,Honnali Mn Belt,1,1.130364,1.251268,1.285495,1.824053,0.085008,10.717489,480.169901
23.213175,73.850292,BG-rajasthan-033,0,0.956726,0.993949,1.101834,1.251696,0.452495,0.472398,400.363544
15.4,74.0,North Goa Mn Occurrences,1,1.483397,1.298665,1.193948,1.646677,0.147911,12.159334,679.185127
21.15,79.42,Tumsar Mn Belt,1,1.501854,1.265843,1.707503,1.468741,0.113363,9.925475,563.793807
23.88432,73.427403,BG-rajasthan-018,0,1.038994,1.027519,1.161317,0.937943,0.166483,6.847404,375.270827
23.55,74.45,Banswara Mn Belt,1,1.258398,1.359374,1.429362,1.221002,0.18664,8.754801,286.188231
15.223356,77.468083,BG-karnataka-012,0,1.092472,0.954122,0.850755,1.103671,0.542976,2.901083,594.038741
15.5,76.8,Koppal Mn Deposits,1,1.583013,1.105973,1.38856,1.420551,0.343941,2.423249,638.669875
22.914426,78.509784,BG-mp-maharashtra-012,0,0.971001,0.946974,1.274254,1.018628,0.84096,3.510334,388.556325
21.302081,84.146588,BG-odisha-043,0,0.941464,0.870211,0.979997,0.974789,0.494424,0.0,600.271446
20.976009,85.672444,BG-odisha-023,0,0.99328,1.186578,0.808862,1.066806,0.99804,1.586219,215.517025
21.386261,86.153373,BG-odisha-037,0,0.932558,1.021423,1.080934,1.226459,0.416308,0.0,332.146722
22.269162,85.514148,BG-jharkhand-014,0,1.218436,1.020536,0.65689,1.014392,0.697689,15.069467,441.78553
14.812755,76.551654,BG-karnataka-037,0,1.069488,0.798773,0.835081,1.027507,0.545544,8.110829,497.397059
24.168159,74.391046,BG-rajasthan-056,0,0.835689,0.858888,0.784884,1.122945,0.066912,4.000249,399.486617
21.343763,84.696363,BG-odisha-035,0,1.263522,0.969269,1.130205,0.956159,0.333451,2.465231,548.006936
14.855374,75.024174,BG-karnataka-027,0,1.179075,1.023362,1.502843,1.014825,0.565459,6.884162,525.592574
24.328475,73.6604,BG-rajasthan-006,0,1.390587,1.155859,0.746083,0.956025,0.532817,9.024324,201.670822
20.614331,85.460444,BG-odisha-051,0,0.65911,0.712172,0.958622,1.003487,0.518687,2.036463,245.333856
20.693862,85.077628,BG-odisha-028,0,0.696313,1.002794,1.029209,1.178879,0.594435,4.64178,528.418706
23.840287,74.809677,BG-rajasthan-055,0,0.998181,0.874091,0.886707,0.92643,0.091825,6.203467,377.487415
21.455797,78.368164,BG-mp-maharashtra-021,0,0.962037,0.867201,1.029489,1.294699,0.466503,3.215649,354.940808
17.515227,84.422094,BG-andhra-056,0,1.008839,0.79558,0.949958,1.029789,0.773595,9.745632,313.743216
17.53057,83.228574,BG-andhra-021,0,0.905928,1.04709,0.787699,1.069914,0.531185,2.051158,419.931779
17.652852,84.158721,BG-andhra-033,0,1.11078,0.712645,1.058458,0.954814,0.460234,7.595942,242.958593
22.801203,85.774311,BG-jharkhand-015,0,0.693736,0.809418,1.09362,1.228193,0.783536,13.614257,123.890973
22.288876,85.619555,BG-jharkhand-007,0,1.143117,0.710882,1.228176,1.060536,0.266001,14.544554,450.836796
21.471282,84.534368,BG-odisha-042,0,0.717416,0.998151,0.853018,1.037807,0.380917,11.680722,223.438497
17.662148,83.038518,BG-andhra-028,0,1.070785,1.195844,0.837686,1.053704,0.49434,2.39634,271.268299
